Time,rot_x,rot_y,rot_z,a_x,a_y,a_z,hpa,stat
000037.7754,-2047.,39.000,-22.00,16.339,-1.375,-14.62,,
000037.8589,,,,,,,1012.13,14.10
000037.9127,-2043.,28.000,-24.00,9.3399,-23.37,-14.62,,
000037.9989,,,,,,,1012.16,14.12
000038.1147,-2051.,34.000,-28.00,-0.660,-16.37,23.375,,
000038.1682,,,,,,,1012.13,14.10
000038.2221,-2047.,36.000,-25.00,-24.66,21.625,-13.62,,
000038.3055,,,,,,,1012.15,14.11
000038.3593,-2052.,29.000,-34.00,5.3399,-16.37,-10.62,,
000038.4428,,,,,,,1012.15,14.11
000038.4966,-2048.,35.000,-36.00,17.339,-43.37,7.3750,,
000038.5945,,,,,,,1012.18,14.11
000038.6341,-2044.,45.000,-20.00,13.339,-18.37,48.375,,
000038.7173,,,,,,,1012.13,14.11
000038.7712,-2049.,31.000,-21.00,-9.660,-34.37,-32.62,,
000038.8546,,,,,,,1012.13,14.11
000038.9085,-2052.,27.000,-36.00,-32.66,-9.375,-19.62,,
000038.9919,,,,,,,1012.16,14.12
000039.0457,-2048.,26.000,-31.00,4.3399,-28.37,20.375,,
000039.1320,,,,,,,1012.15,14.11
000039.1830,-2050.,41.000,-24.00,23.339,-44.37,22.375,,
000039.2665,,,,,,,1012.12,14.10
000039.3203,-2052.,31.000,-26.00,-25.66,-31.37,-27.62,,
000039.4037,,,,,,,1012.14,14.11
000039.4576,-2051.,22.000,-25.00,-6.660,-39.37,-20.62,,
000039.5410,,,,,,,1012.14,14.11
000039.5988,-2057.,33.000,-39.00,31.339,-7.375,28.375,,
000039.6783,,,,,,,1012.15,14.11
000039.7321,-2056.,62.000,-32.00,14.339,-33.37,3.3750,,
000039.8156,,,,,,,1012.15,14.11
000039.8694,-2038.,39.000,-45.00,-15.66,-24.37,-18.62,,
000039.9529,,,,,,,1012.16,14.13
000040.0067,-2049.,28.000,-29.00,-24.66,8.6250,-6.625,,
000040.0901,,,,,,,1012.13,14.10
000040.1478,-2052.,33.000,-23.00,30.339,-18.37,-9.625,,
000040.2274,,,,,,,1012.12,14.11
000040.2813,-2048.,41.000,-24.00,-1.660,-12.37,-0.625,,
000040.3647,,,,,,,1012.15,14.12
000040.4185,-2054.,27.000,-17.00,15.339,-18.37,18.375,,
000040.5033,,,,,,,1012.20,14.12
000040.5558,-2044.,40.000,-11.00,12.339,-15.37,4.3750,,
000040.6392,,,,,,,1012.14,14.12
000040.6970,-2055.,38.000,-22.00,-8.660,16.625,3.3750,,
000040.7765,,,,,,,1012.13,14.12
000040.8304,-2051.,36.000,-37.00,-14.66,-28.37,-16.62,,
000040.9138,,,,,,,1012.17,14.11
000040.9676,-2049.,27.000,-18.00,-15.66,-10.37,6.3750,,
000041.0511,,,,,,,1012.15,14.13
000041.1049,-2054.,36.000,-27.00,-7.660,-34.37,49.375,,
000041.1911,,,,,,,1012.15,14.12
000041.2422,-2039.,33.000,-33.00,0.3399,-38.37,1.3750,,
000041.3256,,,,,,,1012.17,14.13
000041.3795,-2058.,22.000,-26.00,-3.660,-26.37,-15.62,,
000041.4629,,,,,,,1012.17,14.13
000041.5168,-2055.,40.000,-35.00,-6.660,-3.375,31.375,,
000041.6002,,,,,,,1012.15,14.11
